CustomerID,Age,Gender,Product Category,City,Monthly Spending,Purchase Frequency,Payment Method,Customer Rating,Returns
1,28,Female,Furniture,Hyderabad,32398.0,7,Net Banking,4.2,4
2,29,Male,Electronics,Chennai,25316.0,19,Net Banking,1.3,1
3,32,Male,Furniture,Mumbai,41362.0,15,Cash,4.8,4
4,49,Male,Groceries,Chennai,11145.0,3,Cash,4.2,0
5,47,Male,Sports,Hyderabad,27302.0,16,Card,1.7,0
6,48,Male,Electronics,Bengaluru,14668.0,19,Cash,1.5,3
7,53,Female,Clothing,Hyderabad,10578.0,18,Net Banking,2.2,3
8,50,Female,Groceries,Mumbai,26335.0,9,Cash,4.3,1
9,63,Female,Electronics,Mumbai,5595.0,18,Card,3.3,2
10,53,Male,Clothing,Bengaluru,42058.0,12,UPI,2.4,4
11,37,Male,Electronics,Bengaluru,5302.0,6,Net Banking,2.5,5
12,20,Male,Furniture,Bengaluru,49618.0,19,Cash,4.5,3
13,50,Female,Clothing,Bengaluru,11636.0,18,Cash,2.8,3
14,65,Female,Electronics,Hyderabad,4419.0,9,UPI,1.1,1
15,28,Female,Electronics,Hyderabad,43299.0,5,Card,4.0,3
16,21,Female,Clothing,,48750.0,16,Cash,4.8,2
17,27,Female,Sports,Mumbai,32749.0,19,Net Banking,2.2,4
18,55,Female,Clothing,Chennai,26058.0,5,Cash,2.1,2
19,59,Male,Sports,Mumbai,17855.0,13,Card,1.5,0
20,43,Male,Clothing,Chennai,43056.0,15,Card,1.3,0
21,59,Female,Clothing,Hyderabad,36301.0,11,Net Banking,3.0,1
22,57,Male,Clothing,Bengaluru,25760.0,7,Cash,3.4,4
23,65,Male,Electronics,Mumbai,31400.0,3,Net Banking,4.1,1
24,63,Male,Groceries,Pune,21553.0,2,Card,2.6,2
25,64,Female,Sports,Pune,33116.0,19,Cash,3.2,0
26,50,Female,Sports,Hyderabad,20111.0,20,Card,,2
27,30,Female,Electronics,Hyderabad,44120.0,14,Cash,4.5,5
28,22,Female,Sports,Pune,2296.0,15,Net Banking,3.1,3
29,43,Male,Clothing,Chennai,4199.0,14,Cash,2.0,5
30,55,Female,Furniture,Mumbai,16495.0,13,Net Banking,2.3,1
31,58,Male,Electronics,Mumbai,12327.0,16,UPI,,1
32,46,Female,Clothing,Mumbai,33681.0,13,UPI,3.5,4
33,63,Male,Clothing,Hyderabad,14240.0,10,Net Banking,3.9,0
34,53,Male,Electronics,Pune,20831.0,20,Net Banking,4.0,3
35,24,Male,Furniture,Bengaluru,45477.0,11,UPI,3.6,5
36,30,Female,Electronics,Chennai,22109.0,17,UPI,4.8,1
37,61,Male,Clothing,Pune,46099.0,9,Net Banking,1.6,3
38,47,Female,Furniture,Mumbai,41441.0,9,Card,,4
39,35,Male,Clothing,Bengaluru,3252.0,12,UPI,1.1,4
40,55,Male,Furniture,Pune,29916.0,15,Card,5.0,4
41,27,Male,Groceries,Bengaluru,,12,Cash,2.5,1
42,54,Female,Sports,Chennai,21227.0,7,Net Banking,2.6,4
43,33,Male,Sports,Pune,31653.0,1,Cash,1.3,5
44,60,Male,Clothing,Chennai,33594.0,17,Net Banking,2.9,5
45,39,Male,Groceries,Bengaluru,24142.0,10,UPI,3.6,0
46,22,Male,Clothing,Pune,7432.0,7,UPI,2.1,0
47,28,Male,Sports,Mumbai,19038.0,13,Card,1.1,1
48,40,Female,Furniture,Bengaluru,46276.0,7,Net Banking,1.3,1
49,31,Male,Groceries,Pune,35901.0,6,Cash,3.8,3
50,48,Male,Furniture,Chennai,19321.0,2,Card,3.7,5
51,57,Male,Groceries,Mumbai,14772.0,15,UPI,1.0,2
52,29,Female,Sports,Chennai,25651.0,6,Card,4.7,4
53,50,Female,Clothing,Bengaluru,34728.0,18,UPI,4.1,5
54,41,Male,Clothing,Mumbai,40280.0,6,UPI,3.2,2
55,54,Male,Electronics,Mumbai,39039.0,1,Card,4.0,1
56,52,Female,Sports,Hyderabad,9050.0,6,Card,3.6,4
57,59,Female,Furniture,Bengaluru,43649.0,7,UPI,1.7,3
58,32,Female,Furniture,Hyderabad,3654.0,18,Net Banking,1.8,2
59,55,Female,Groceries,Bengaluru,48895.0,8,Card,2.5,3
60,20,Male,Sports,Hyderabad,38777.0,15,Card,2.9,5
61,53,Female,Electronics,Chennai,25276.0,5,Net Banking,2.3,2
62,42,Female,Sports,Chennai,17808.0,4,UPI,3.6,5
63,47,Male,Clothing,Pune,22836.0,3,UPI,2.0,1
64,27,Female,Electronics,Pune,20385.0,7,Card,1.5,5
65,49,Male,Electronics,Hyderabad,43549.0,17,UPI,1.0,1
66,36,Male,Groceries,Mumbai,4960.0,4,Cash,5.0,1
67,56,Female,Furniture,Pune,36227.0,18,UPI,2.7,0
68,58,Female,Clothing,,27334.0,15,Net Banking,3.9,4
69,32,Female,Clothing,Chennai,43151.0,15,Card,4.1,4
70,65,Male,Groceries,Mumbai,11118.0,6,Cash,4.2,2
71,62,Female,Groceries,Bengaluru,4154.0,15,Card,1.8,0
72,57,Male,Clothing,Bengaluru,37098.0,4,Card,3.1,0
73,58,Female,Electronics,Chennai,14314.0,7,Cash,1.3,1
74,32,Male,Clothing,Bengaluru,29301.0,19,Cash,2.6,2
75,61,Female,Furniture,Chennai,38817.0,16,Cash,4.6,4
76,48,Male,Electronics,Chennai,17836.0,16,UPI,3.1,1
77,36,Female,Groceries,Mumbai,43990.0,9,Net Banking,4.7,2
78,21,Male,Groceries,Pune,6927.0,16,UPI,4.3,1
79,64,Male,Groceries,Hyderabad,26589.0,4,UPI,3.6,3
80,32,Male,Groceries,Mumbai,34597.0,4,Net Banking,1.9,2
81,64,Male,Electronics,Mumbai,42035.0,10,UPI,2.7,0
82,45,Male,Clothing,Chennai,15264.0,7,Card,4.5,2
83,18,Male,Furniture,Bengaluru,49260.0,12,Net Banking,1.8,5
84,56,Male,Groceries,Mumbai,10392.0,11,UPI,4.6,5
85,27,Female,Electronics,Chennai,17126.0,10,UPI,3.2,1
86,64,Female,Electronics,Pune,18884.0,9,Card,4.2,4
87,65,Male,Electronics,Chennai,14777.0,13,Card,3.0,5
88,60,Male,Clothing,Mumbai,25954.0,10,Card,3.1,0
89,26,Male,Electronics,Bengaluru,30776.0,4,Net Banking,1.2,5
90,38,Male,Clothing,Pune,39201.0,10,Net Banking,4.5,2
91,44,Female,Sports,Chennai,19301.0,12,Cash,3.8,2
92,47,Female,Groceries,Hyderabad,9852.0,17,UPI,3.6,5
93,40,Male,Clothing,Chennai,19264.0,6,Cash,4.9,0
94,28,Female,Clothing,Pune,2660.0,2,Cash,1.7,4
95,61,Male,Clothing,Hyderabad,41740.0,6,Card,1.4,5
96,37,Female,Groceries,Hyderabad,15195.0,13,Net Banking,4.2,2
97,65,Male,Clothing,Hyderabad,22049.0,8,UPI,4.3,1
98,23,Female,Furniture,Bengaluru,13246.0,20,Net Banking,4.9,3
99,49,Male,Sports,Mumbai,11937.0,18,Cash,3.5,0
100,64,Male,Groceries,Pune,10278.0,1,Cash,4.5,3
101,23,Female,Groceries,Pune,27110.0,15,Net Banking,4.0,1
102,54,Female,Clothing,Hyderabad,5509.0,5,Card,4.7,5
103,38,Female,Groceries,Mumbai,36215.0,4,UPI,,0
104,23,Male,Clothing,Mumbai,23382.0,16,UPI,3.1,1
105,60,Female,Groceries,Bengaluru,45949.0,19,UPI,2.3,4
106,65,Female,Sports,Mumbai,16052.0,9,Card,3.7,4
107,51,Male,Electronics,Bengaluru,18391.0,16,Net Banking,3.4,2
108,33,Female,Electronics,Pune,43160.0,4,UPI,3.3,0
109,31,Male,Electronics,Pune,37323.0,17,Card,3.6,5
110,44,Female,Groceries,Pune,46377.0,6,Net Banking,1.8,5
111,36,Female,Furniture,Bengaluru,44955.0,9,Net Banking,3.0,4
112,64,Male,Electronics,Hyderabad,17506.0,12,UPI,3.1,4
113,21,Female,Clothing,Bengaluru,13172.0,4,UPI,3.6,1
114,28,Male,Groceries,Pune,35502.0,20,Cash,1.1,0
115,61,Female,Sports,Pune,12941.0,6,Net Banking,2.5,2
116,47,Male,Clothing,Bengaluru,,19,Net Banking,3.6,3
117,28,Female,Furniture,Hyderabad,8744.0,7,Card,1.4,2
118,20,Male,Furniture,Hyderabad,36986.0,13,Net Banking,2.1,5
119,43,Male,Sports,Pune,17411.0,5,UPI,3.1,0
120,38,Male,Furniture,Mumbai,,15,Net Banking,4.0,4
121,21,Female,Clothing,Chennai,49549.0,19,UPI,2.0,2
122,35,Female,Clothing,Mumbai,25911.0,11,Card,2.3,2
123,36,Female,Electronics,Chennai,18961.0,3,Cash,4.6,5
124,48,Female,Furniture,Hyderabad,26550.0,8,UPI,1.3,1
125,29,Male,Clothing,Hyderabad,42205.0,13,Net Banking,3.0,4
126,27,Male,Sports,Mumbai,47894.0,16,Card,2.7,1
127,32,Female,Clothing,Chennai,12022.0,7,Cash,2.3,3
128,56,Male,Sports,Chennai,27328.0,10,Cash,4.3,2
129,20,Male,Furniture,Mumbai,28721.0,12,Cash,2.5,3
130,65,Female,Electronics,Chennai,36344.0,5,Cash,4.9,4
131,55,Female,Groceries,Mumbai,47532.0,3,UPI,4.3,5
132,21,Female,Groceries,Hyderabad,13066.0,2,Card,4.8,1
133,54,Male,Groceries,Pune,11592.0,13,Card,4.2,0
134,34,Female,Electronics,Pune,23727.0,13,Net Banking,2.9,2
135,22,Female,Groceries,Bengaluru,35932.0,11,Card,1.0,3
136,63,Female,Sports,Bengaluru,1082.0,17,Cash,2.9,2
137,22,Male,Clothing,Hyderabad,3646.0,5,Card,2.9,5
138,58,Male,Clothing,Hyderabad,32652.0,11,Cash,,1
139,59,Female,Groceries,Mumbai,44996.0,9,UPI,2.4,2
140,31,Male,Groceries,Pune,3155.0,9,Card,3.1,5
141,52,Female,Clothing,Pune,21617.0,11,Card,3.2,5
142,56,Male,Sports,Chennai,31179.0,6,Net Banking,3.7,3
143,51,Male,Sports,Mumbai,29550.0,8,Card,3.1,4
144,52,Male,Groceries,,8804.0,18,Net Banking,2.3,3
145,25,Female,Electronics,Hyderabad,17191.0,10,Net Banking,4.3,1
146,22,Female,Groceries,Mumbai,48688.0,12,Net Banking,1.7,5
147,45,Female,Furniture,Bengaluru,43703.0,17,Card,4.9,1
148,64,Female,Sports,Chennai,,6,Cash,2.4,1
149,46,Female,Sports,Mumbai,26198.0,11,Cash,1.8,2
150,54,Male,Sports,Chennai,22229.0,12,UPI,,2
151,56,Male,Clothing,Chennai,26447.0,10,Net Banking,1.5,1
152,61,Male,Electronics,Bengaluru,16573.0,14,Cash,4.9,5
153,43,Male,Sports,Bengaluru,6063.0,15,Cash,3.3,5
154,49,Female,Sports,,9742.0,16,Net Banking,4.6,1
155,26,Male,Electronics,Pune,49109.0,12,Card,4.1,2
156,57,Male,Groceries,Bengaluru,,12,Net Banking,1.3,4
157,34,Female,Furniture,Hyderabad,43100.0,2,Net Banking,1.9,0
158,26,Female,Furniture,Mumbai,6103.0,10,UPI,2.5,5
159,52,Male,Sports,Chennai,21438.0,8,Net Banking,2.1,3
160,24,Female,Electronics,Bengaluru,23216.0,18,Net Banking,1.1,5
161,62,Male,Groceries,Hyderabad,9146.0,15,Net Banking,1.4,2
162,21,Male,Clothing,Bengaluru,9481.0,15,Net Banking,3.0,2
163,46,Male,Clothing,Chennai,24650.0,3,Net Banking,1.3,2
164,59,Female,Electronics,Bengaluru,24903.0,8,Net Banking,4.7,1
